,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,ape_cat4,enthic
1592,5829C,Edition de logiciels applicatifs,5,58,2,9,C,,1592
1593,3521Z,Production de combustibles gazeux,5,35,2,1,Z,,1593
1594,5224,Manutention,4,52,2,4,,,1594
1595,1396Z,Fabrication d'autres textiles techniques et industriels,5,13,9,6,Z,,1595
1596,4669A,Commerce de gros de matériel électrique,5,46,6,9,A,,1596
1597,2829,Fabrication de machines diverses d'usage général,4,28,2,9,,,1597
1598,3600Z,"Captage, traitement et distribution d'eau",5,36,0,0,Z,,1598
1599,3812,Collecte des déchets dangereux,4,38,1,2,,,1599
1600,7739,"Location et location-bail machines, équipements et biens divers",4,77,3,9,,,1600
1601,7731Z,Location et location-bail de machines et équipements agricoles,5,77,3,1,Z,,1601
1602,4645Z,Commerce de gros de parfumerie et de produits de beauté,5,46,4,5,Z,,1602
1603,236,"Fabrication d'ouvrages en béton, en ciment ou en plâtre",3,23,6,,,,1603
1604,8690,Autres activités pour la santé humaine,4,86,9,0,,,1604
1605,8531,Enseignement secondaire général,4,85,3,1,,,1605
1606,1813Z,Activités de pré-presse,5,18,1,3,Z,,1606
1607,2521,Fabrication radiateurs et chaudières pour le chauffage central,4,25,2,1,,,1607
1608,4759,Comm. détail meubles appareils éclairage & autres art. ménage,4,47,5,9,,,1608
1609,9512,Réparation d'équipements de communication,4,95,1,2,,,1609
1610,889,Autre action sociale sans hébergement,3,88,9,,,,1610
1611,873,Hébergement social pour personnes âgées ou handicapées physiques,3,87,3,,,,1611
1612,1419Z,Fabrication d'autres vêtements et accessoires,5,14,1,9,Z,,1612
1613,1814,Reliure et activités connexes,4,18,1,4,,,1613
1614,3250A,Fabrication de matériel médico-chirurgical et dentaire,5,32,5,0,A,,1614
1615,163,Traitement primaire des récoltes,3,16,3,,,,1615
1616,4931Z,Transports urbains et suburbains de voyageurs,5,49,3,1,Z,,1616
1617,1413Z,Fabrication de vêtements de dessus,5,14,1,3,Z,,1617
1618,855,Autres activités d'enseignement,3,85,5,,,,1618
1619,9499Z,Autres organisations fonctionnant par adhésion volontaire,5,94,9,9,Z,,1619
1620,2825Z,Fabrication équipements aérauliques et frigorifiques industriels,5,28,2,5,Z,,1620
1621,2342Z,Fabrication d'appareils sanitaires en céramique,5,23,4,2,Z,,1621
1622,2550A,"Forge, estampage, matriçage; métallurgie des poudres",5,25,5,0,A,,1622
1623,68,Activités immobilières,2,68,,,,,1623
1624,304,Construction de véhicules militaires de combat,3,30,4,,,,1624
1625,9810Z,Activ. indifférenciées ménages : producteurs biens (usage propre),5,98,1,0,Z,,1625
1626,2454Z,Fonderie d'autres métaux non ferreux,5,24,5,4,Z,,1626
1627,932,Activités récréatives et de loisirs,3,93,2,,,,1627
1628,0899Z,Autres activités extractives n.c.a.,5,08,9,9,Z,,1628
1629,1722,Fabrication d'articles en papier à usage sanitaire ou domestique,4,17,2,2,,,1629
1630,2824Z,Fabrication d'outillage portatif à moteur incorporé,5,28,2,4,Z,,1630
1631,6622Z,Activités des agents et courtiers d'assurances,5,66,2,2,Z,,1631
1632,511,Transports aériens de passagers,3,51,1,,,,1632
1633,3213Z,Fabrication articles bijouterie fantaisie & articles similaires,5,32,1,3,Z,,1633
1634,1071D,Pâtisserie,5,10,7,1,D,,1634
1635,3020Z,Construction locomotives & autre matériel ferroviaire roulant,5,30,2,0,Z,,1635
1636,4212,Construction de voies ferrées de surface et souterraines,4,42,1,2,,,1636
